TF,target,importance
RPL6,RPL30,44.79303559
RPL35,RPS3,44.73911789
IRF8,PPP1R14B,44.71565751
KLF4,BRI3,44.57970153
SPI1,MYL6,44.56717485
SPI1,PSAP,44.52489525
TAL1,GP9,44.48235475
MYBL2,TCF4,44.48145697
YBX1,TMSB4X,44.48056121
RPL35,RPS12,44.47720538
RPS4X,EEF2,44.34578659
RPS4X,NPM1,44.267674
RPL6,RPL36A,44.20324176
IRF7,EPHA2,44.16966728
IRF7,SCT,44.13087505
SPI1,TMSB4X,44.02982956
RPS10,RPL15,44.0243499
FOS,TYROBP,43.92704141
GATA2,PTCRA,43.84212429
ODC1,ACRBP,43.62518495
IRF8,DNASE1L3,43.60529881
PAX5,CD37,43.60209271
MAFB,FTH1,43.49170461
FOS,S100A12,43.3716325
TBX21,KLRF1,43.26713336
SPI1,COTL1,43.23319344
KLF4,FOS,43.21373885
HES4,TCF7L2,43.18849441
RPL6,RPSA,43.12212916
FOS,CTSS,43.06774088
IRF7,UGCG,42.9747959
ODC1,CD9,42.89681955
YBX1,PFN1,42.81651392
PAX5,CD79A,42.76663834
RPS4X,HNRNPA1,42.6273349
RPL6,RPS21,42.52022133
TBX21,HOPX,42.48221225
FOS,ATP6V0E1,42.45704979
TBX21,CD247,42.44981676
CREB5,S100A8,42.40261557
RPL35,EEF1B2,42.3989986
CEBPD,CSF3R,42.30095164
RPL6,RPL18,42.27374929
RPL35,RACK1,42.26417863
RPL35,RPS27A,42.25894014
MYBL2,CLEC4C,42.23525343
SPI1,TYROBP,42.20680056
SPIB,LINC00926,42.18275397
POU2AF1,MS4A1,42.16954222
RPS4X,NOP53,42.16615325
HSPA5,CALR,42.08406051
YBX1,PRELID1,42.04856838
SPI1,ARPC2,41.98843669
FOS,APLP2,41.95226548
RPS10,FAU,41.89039371
KLF4,OAZ1,41.83962454
MYBL2,LILRA4,41.82898318
RPS10,RPL6,41.82496354
KLF4,LGALS3,41.77360611
KLF4,FTH1,41.69084333
TBX21,GZMA,41.68688191
KLF4,COTL1,41.58693948
TCF4,UGCG,41.56712194
ODC1,PRKAR2B,41.50212278
RUNX2,ITM2C,41.44274153
RORC,SLC4A10,41.41102276
SPIB,CD22,41.40800292
RPS10,RPS13,41.38350988
KLF4,TIMP2,41.37518807
KLRG1,CST7,41.36991109
RPS10,TPT1,41.3611488
CEBPD,RPS27,41.31061639
NAP1L1,RHOC,41.2657593
FOS,TALDO1,41.21506823
ODC1,GRAP2,41.21073108
KLRG1,IL32,41.19485568
SPI1,OAZ1,41.07172731
H2AFY,CYBA,41.05333175
FOS,FTL,41.02078107
RPL35,RPL26,41.01120879
TCF4,CLEC4C,41.01110841
FOS,RAC1,40.98426615
POU2AF1,CD79A,40.93650035
FOS,CD14,40.91849966
IRF7,NRP1,40.83246391
RPL6,EIF3F,40.76992373
TBX21,SPON2,40.73721114
SPI1,LCP1,40.56712059
FOS,CSF3R,40.56120154
IRF7,ALOX5AP,40.55677945
CEBPB,S100A11,40.50508073
TCF7,RPS12,40.47759065
CEBPB,NEAT1,40.43954333
KLRG1,HCST,40.35698482
PAX5,LINC00926,40.26407504
MEF2C,CD74,40.20182847
PAX5,BANK1,40.18877451
RPS10,RPL28,40.16600738
RORA,IL32,40.08895399
FOS,CTSD,40.02730216
SPI1,AIF1,39.93514717
RPL35,EEF1D,39.84855049
RPL6,COX7C,39.82535352
SPI1,SAT1,39.81545226
TCF7L2,SMIM25,39.79963051
KLRG1,CCL5,39.75576804
TCF4,IRF7,39.72435205
FOS,CD36,39.68853781
KLF4,ARPC5,39.68631021
CUX2,CLEC4C,39.66665219
RPS4X,TOMM7,39.61308467
